Name,Price,Colors,Product Link,Images
Regular-Fit Utility Shirt,$ 44.99,"Khaki green, Dark brown",https://www2.hm.com/en_us/productpage.1281429003.html,"https://image.hm.com/assets/hm/06/13/06133474bb8863e5d6301ae445c6a19f4afce159.jpg, https://image.hm.com/assets/hm/4a/6d/4a6d0a767e7a2a0cfb7d4a25c00db5043ad7c062.jpg"
Regular-Fit Utility Shirt,$ 44.99,"Dark brown, Khaki green",https://www2.hm.com/en_us/productpage.1281429002.html,"https://image.hm.com/assets/hm/4a/6d/4a6d0a767e7a2a0cfb7d4a25c00db5043ad7c062.jpg, https://image.hm.com/assets/hm/06/13/06133474bb8863e5d6301ae445c6a19f4afce159.jpg"
Regular-Fit Cable-Knit Polo Shirt,$ 44.99,"Cream, Dark brown",https://www2.hm.com/en_us/productpage.1291561001.html,"https://image.hm.com/assets/hm/ea/91/ea91e4f5cb806046516712385d9c9e1e80463879.jpg, https://image.hm.com/assets/hm/14/59/14598d27f88b4185784a574b4309b610f5ea8813.jpg"
Regular-Fit Polo Shirt,$ 44.99,"Apricot pink, Light beige, Dark brown",https://www2.hm.com/en_us/productpage.1291559003.html,"https://image.hm.com/assets/hm/52/a5/52a57eadbc3827b98155d6131e819b7f5ccdc8f0.jpg, https://image.hm.com/assets/hm/f3/ec/f3ec47e76b5f2614b1eb8b448cfeef86b9689ade.jpg, https://image.hm.com/assets/hm/6b/d7/6bd777ec422931013aef5b2b31034199dc3bc713.jpg"
Regular-Fit Polo Shirt,$ 44.99,"Dark brown, Light beige, Apricot pink",https://www2.hm.com/en_us/productpage.1291559002.html,"https://image.hm.com/assets/hm/6b/d7/6bd777ec422931013aef5b2b31034199dc3bc713.jpg, https://image.hm.com/assets/hm/f3/ec/f3ec47e76b5f2614b1eb8b448cfeef86b9689ade.jpg, https://image.hm.com/assets/hm/52/a5/52a57eadbc3827b98155d6131e819b7f5ccdc8f0.jpg"
Loose-Fit Jersey Resort Shirt,$ 34.99,"Dark brown, Apricot pink",https://www2.hm.com/en_us/productpage.1291558001.html,"https://image.hm.com/assets/hm/47/21/47216e409495304713a139bbb9290c7c45df6e31.jpg, https://image.hm.com/assets/hm/f8/a2/f8a2a21594b3e2f578b1265c20c73360fd27b318.jpg"
Relaxed Fit Jersey trousers,$ 44.99,"Light beige, Black",https://www2.hm.com/en_us/productpage.1281434002.html,"https://image.hm.com/assets/hm/e4/53/e453725da1bd1b2d6205aac1c2902b08ea2c2eed.jpg, https://image.hm.com/assets/hm/2f/5c/2f5cdf2b04191a05465773455317eeebb859fed6.jpg"
Relaxed-Fit Pants,$ 44.99,"Dark brown, Light beige, Khaki green",https://www2.hm.com/en_us/productpage.1281430001.html,"https://image.hm.com/assets/hm/c9/3d/c93dd20b764626e096732aa011d5f2872ab64760.jpg, https://image.hm.com/assets/hm/f1/33/f133ecfca7b8ccd0b89d3179bc786aa95d69f6dd.jpg, https://image.hm.com/assets/hm/d3/4d/d34d24c20c6dc8ab2d3fd0470a090a73a79f9141.jpg"
Relaxed-Fit Pants,$ 44.99,"Light beige, Dark brown, Khaki green",https://www2.hm.com/en_us/productpage.1281430003.html,"https://image.hm.com/assets/hm/f1/33/f133ecfca7b8ccd0b89d3179bc786aa95d69f6dd.jpg, https://image.hm.com/assets/hm/c9/3d/c93dd20b764626e096732aa011d5f2872ab64760.jpg, https://image.hm.com/assets/hm/d3/4d/d34d24c20c6dc8ab2d3fd0470a090a73a79f9141.jpg"
Relaxed-Fit Pants,$ 44.99,"Khaki green, Dark brown, Light beige",https://www2.hm.com/en_us/productpage.1281430002.html,"https://image.hm.com/assets/hm/d3/4d/d34d24c20c6dc8ab2d3fd0470a090a73a79f9141.jpg, https://image.hm.com/assets/hm/c9/3d/c93dd20b764626e096732aa011d5f2872ab64760.jpg, https://image.hm.com/assets/hm/f1/33/f133ecfca7b8ccd0b89d3179bc786aa95d69f6dd.jpg"
Loose-Fit Shirt,$ 44.99,"Dark brown, Sage green, Beige",https://www2.hm.com/en_us/productpage.1281436001.html,"https://image.hm.com/assets/hm/7b/d3/7bd319ef7550baca9fea3ce2e39cfc56f5ca75bc.jpg, https://image.hm.com/assets/hm/ed/b8/edb835daa364d950b898504d8b59be2407ac86c5.jpg, https://image.hm.com/assets/hm/fd/45/fd45275f152b73ea05e5e366d4797682b896ead7.jpg"
Loose-Fit Shirt,$ 44.99,"Sage green, Dark brown, Beige",https://www2.hm.com/en_us/productpage.1281436002.html,"https://image.hm.com/assets/hm/ed/b8/edb835daa364d950b898504d8b59be2407ac86c5.jpg, https://image.hm.com/assets/hm/7b/d3/7bd319ef7550baca9fea3ce2e39cfc56f5ca75bc.jpg, https://image.hm.com/assets/hm/fd/45/fd45275f152b73ea05e5e366d4797682b896ead7.jpg"
Relaxed Fit Jersey trousers,$ 44.99,"Black, Light beige",https://www2.hm.com/en_us/productpage.1281434001.html,"https://image.hm.com/assets/hm/2f/5c/2f5cdf2b04191a05465773455317eeebb859fed6.jpg, https://image.hm.com/assets/hm/e4/53/e453725da1bd1b2d6205aac1c2902b08ea2c2eed.jpg"
Loose-Fit Shirt,$ 44.99,"Beige, Dark brown, Sage green",https://www2.hm.com/en_us/productpage.1281436003.html,"https://image.hm.com/assets/hm/fd/45/fd45275f152b73ea05e5e366d4797682b896ead7.jpg, https://image.hm.com/assets/hm/7b/d3/7bd319ef7550baca9fea3ce2e39cfc56f5ca75bc.jpg, https://image.hm.com/assets/hm/ed/b8/edb835daa364d950b898504d8b59be2407ac86c5.jpg"
Regular-Fit Cable-Knit Polo Shirt,$ 44.99,"Dark brown, Cream",https://www2.hm.com/en_us/productpage.1291561002.html,"https://image.hm.com/assets/hm/14/59/14598d27f88b4185784a574b4309b610f5ea8813.jpg, https://image.hm.com/assets/hm/ea/91/ea91e4f5cb806046516712385d9c9e1e80463879.jpg"
Loose-Fit Boxy T-Shirt,$ 24.99,"Black, White, Dark brown, Apricot pink",https://www2.hm.com/en_us/productpage.1291560002.html,"https://image.hm.com/assets/hm/7a/32/7a326552e1bbf1ef1a473415da197c55695c6909.jpg, https://image.hm.com/assets/hm/51/fc/51fc7c49768242a83024fbebf2773e74759f0c33.jpg, https://image.hm.com/assets/hm/5d/2e/5d2e702836382c17722d2fe9e4389530fc8b1d9d.jpg, https://image.hm.com/assets/hm/26/64/266494a20a03deb996c3f63eebd3090c930984bb.jpg"
Slim-Fit Ribbed Tank Top,$ 17.99,"Cream, Black, Apricot pink",https://www2.hm.com/en_us/productpage.1291565001.html,"https://image.hm.com/assets/hm/44/f8/44f8943d9952fde42bdb1bcb248790821f754930.jpg, https://image.hm.com/assets/hm/ab/33/ab333c12f788dbfa99701005e2598b143e0281a5.jpg, https://image.hm.com/assets/hm/ad/e5/ade58b86a127e08691f37d1aa1a6d84b8b5b9f47.jpg"
Loose-Fit Boxy T-Shirt,$ 24.99,"Dark brown, Black, White, Apricot pink",https://www2.hm.com/en_us/productpage.1291560003.html,"https://image.hm.com/assets/hm/5d/2e/5d2e702836382c17722d2fe9e4389530fc8b1d9d.jpg, https://image.hm.com/assets/hm/7a/32/7a326552e1bbf1ef1a473415da197c55695c6909.jpg, https://image.hm.com/assets/hm/51/fc/51fc7c49768242a83024fbebf2773e74759f0c33.jpg, https://image.hm.com/assets/hm/26/64/266494a20a03deb996c3f63eebd3090c930984bb.jpg"
Regular-Fit Jersey Jacket,$ 54.99,Black,https://www2.hm.com/en_us/productpage.1281432001.html,https://image.hm.com/assets/hm/43/60/436048731e189370acc8116620b06b02e54176a3.jpg
Slim-Fit Ribbed Tank Top,$ 17.99,"Black, Cream, Apricot pink",https://www2.hm.com/en_us/productpage.1291565002.html,"https://image.hm.com/assets/hm/ab/33/ab333c12f788dbfa99701005e2598b143e0281a5.jpg, https://image.hm.com/assets/hm/44/f8/44f8943d9952fde42bdb1bcb248790821f754930.jpg, https://image.hm.com/assets/hm/ad/e5/ade58b86a127e08691f37d1aa1a6d84b8b5b9f47.jpg"
Slim-Fit Ribbed Tank Top,$ 17.99,"Apricot pink, Cream, Black",https://www2.hm.com/en_us/productpage.1291565003.html,"https://image.hm.com/assets/hm/ad/e5/ade58b86a127e08691f37d1aa1a6d84b8b5b9f47.jpg, https://image.hm.com/assets/hm/44/f8/44f8943d9952fde42bdb1bcb248790821f754930.jpg, https://image.hm.com/assets/hm/ab/33/ab333c12f788dbfa99701005e2598b143e0281a5.jpg"
Loose-Fit Boxy T-Shirt,$ 24.99,"Apricot pink, Black, White, Dark brown",https://www2.hm.com/en_us/productpage.1291560004.html,"https://image.hm.com/assets/hm/26/64/266494a20a03deb996c3f63eebd3090c930984bb.jpg, https://image.hm.com/assets/hm/7a/32/7a326552e1bbf1ef1a473415da197c55695c6909.jpg, https://image.hm.com/assets/hm/51/fc/51fc7c49768242a83024fbebf2773e74759f0c33.jpg, https://image.hm.com/assets/hm/5d/2e/5d2e702836382c17722d2fe9e4389530fc8b1d9d.jpg"
Loose-Fit Long-Sleeved Jersey Shirt,$ 34.99,"Dark brown, White",https://www2.hm.com/en_us/productpage.1291564002.html,"https://image.hm.com/assets/hm/f7/bc/f7bcb94ec188bdc6bfdd83812e35e025e4ae3ba2.jpg, https://image.hm.com/assets/hm/64/06/6406651e16d9823d7a4bae3373ff9e178621a8ea.jpg"
Slim Fit Polo Shirt,$ 9.99,"Light beige, Black, Sage green, Navy blue",https://www2.hm.com/en_us/productpage.0956343083.html,"https://image.hm.com/assets/hm/60/e0/60e0cf246980dad108a8f3875bd71085e42e959f.jpg, https://image.hm.com/assets/hm/1b/9a/1b9a40df036db9f0eeaf83ccda1a5c1445f1e93a.jpg, https://image.hm.com/assets/hm/e2/ae/e2ae700b24d5e1b6ee4ed92744c6fc14664a31ab.jpg, https://image.hm.com/assets/hm/fa/0b/fa0bf757bd60fd5be16bf3d6c86711038d06354a.jpg"
Regular-Fit Linen-Blend Pants,$ 39.99,"Cream, Dark beige, Black, White, Navy blue",https://www2.hm.com/en_us/productpage.1253401001.html,"https://image.hm.com/assets/hm/5a/f6/5af699e588d72cba035f541790bd1c0278ee0c3e.jpg, https://image.hm.com/assets/hm/3d/f1/3df15c594690139d1589f14ae9feb41652fd8951.jpg, https://image.hm.com/assets/hm/b0/43/b043f0f0eeaba1bcf1ea0d7937bfe6bd48925a05.jpg, https://image.hm.com/assets/hm/3c/59/3c5995059624b8613fdaf8226eba74e2e8b6733e.jpg, https://image.hm.com/assets/hm/8e/15/8e156d994ba013b08d993ddf82b89f4edc991d1f.jpg"
Regular-Fit Linen-Blend Pants,$ 39.99,"Dark beige, Cream, Black, White, Navy blue",https://www2.hm.com/en_us/productpage.1253401004.html,"https://image.hm.com/assets/hm/3d/f1/3df15c594690139d1589f14ae9feb41652fd8951.jpg, https://image.hm.com/assets/hm/5a/f6/5af699e588d72cba035f541790bd1c0278ee0c3e.jpg, https://image.hm.com/assets/hm/b0/43/b043f0f0eeaba1bcf1ea0d7937bfe6bd48925a05.jpg, https://image.hm.com/assets/hm/3c/59/3c5995059624b8613fdaf8226eba74e2e8b6733e.jpg, https://image.hm.com/assets/hm/8e/15/8e156d994ba013b08d993ddf82b89f4edc991d1f.jpg"
Regular-Fit Textured Resort Shirt,$ 29.99,"Navy blue/striped, Beige/striped, Light blue/striped, Brown/cream striped",https://www2.hm.com/en_us/productpage.1261407001.html,"https://image.hm.com/assets/hm/ce/2f/ce2f01b8ab5cc193fb7db0e67f06cbd78bb31c0b.jpg, https://image.hm.com/assets/hm/f2/7e/f27e6352966294a84781df29d510858dcfd4b110.jpg, https://image.hm.com/assets/hm/16/d5/16d551f7d3b9b7d6b0c64b1f489b4de9f256fa14.jpg, https://image.hm.com/assets/hm/c1/32/c132a84e93755f348bab65146f6674d1afc71dde.jpg"
Regular Fit T-shirt,$ 7.99,"White, Black, Dark blue, Dark gray, Brown, Gray melange, Light green, Light beige, Pink, Dark eggplant, Light gray, Light beige",https://www2.hm.com/en_us/productpage.0685816001.html,"https://image.hm.com/assets/hm/bd/e4/bde4ef42f917ccb678c4ff1d218520ce2f10ff6d.jpg, https://image.hm.com/assets/hm/44/42/4442fbac4e3080ec20b2f14e353fea267249b0dd.jpg, https://image.hm.com/assets/hm/7a/0f/7a0fdcdf33a2c4f3e5193cd3663af9107590329d.jpg, https://image.hm.com/assets/hm/90/d0/90d0db1270451ba97d209bf1261f7b721a0dec98.jpg, https://image.hm.com/assets/hm/27/37/27371510657af76474658acf192817bd8632ae8c.jpg, https://image.hm.com/assets/hm/ea/19/ea19a648bc21d0624d04da8df11418980f1bed07.jpg, https://image.hm.com/assets/hm/e8/ba/e8bae3e7486011144bb647b08e86a43cf5621df2.jpg, https://image.hm.com/assets/hm/e9/0c/e90c297b5b49be36fe399581aac68387f6f8c2bb.jpg, https://image.hm.com/assets/hm/56/cd/56cd0c194b1c459d915e86f2b2759fc6e62939a2.jpg, https://image.hm.com/assets/hm/c7/74/c774ea7dba02279eb3d1b95dd60830767536bc9f.jpg, https://image.hm.com/assets/hm/a4/ba/a4baf337758c05e504a4506261473302e6526956.jpg, https://image.hm.com/assets/hm/f1/99/f19952bb78c35cea14068d7bb7afaa52e8699b88.jpg"
Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Dark beige, Navy blue, Cream",https://www2.hm.com/en_us/productpage.1285783003.html,"https://image.hm.com/assets/hm/fb/cf/fbcf50a3a277d6426627e6c343c9df6d748edac1.jpg, https://image.hm.com/assets/hm/ec/aa/ecaac5cc8166d6b04944c8f9534eab34a7308899.jpg, https://image.hm.com/assets/hm/71/f5/71f5678e27dfe5a6f8c68205ec2a99842345a633.jpg"
Regular Fit Sweatpants,$ 19.99,"Black, Dark blue, Dark taupe, Cream, Light gray melange, Light gray melange, Beige, Black",https://www2.hm.com/en_us/productpage.0970817001.html,"https://image.hm.com/assets/hm/97/b6/97b69c0b846fa9ea5a42a21c5dc0b4d423108993.jpg, https://image.hm.com/assets/hm/b1/f8/b1f8da05ef4ca00cacd35e8332e0497515e5c64d.jpg, https://image.hm.com/assets/hm/ac/20/ac209aca738fe29ee524b5050f6ce24c3adb074a.jpg, https://image.hm.com/assets/hm/91/ba/91bac1e7765e54e7bad8691510a36ffac5a4f529.jpg, https://image.hm.com/assets/hm/9d/6f/9d6f1bc5ceffc912c71cce00389db440ba45c247.jpg, https://image.hm.com/assets/hm/cb/e7/cbe73e982b3d962a538cb1eddf5597f1533eb65c.jpg, https://image.hm.com/assets/hm/73/76/73769c1a405fb20e5b551134e7b8ec3877677614.jpg, https://image.hm.com/assets/hm/f7/e1/f7e19b3af3c2588eb955adaa2271ffdca90f28f8.jpg"
Regular-Fit Linen Pants,$ 54.99,"Light beige, White, Black, Dark beige, Navy blue",https://www2.hm.com/en_us/productpage.1253406001.html,"https://image.hm.com/assets/hm/ca/82/ca822eb7662c30817c383b13aff2014a2ab704ef.jpg, https://image.hm.com/assets/hm/5a/d4/5ad4bcc26516c84b234c6d3e93d281ed8083545c.jpg, https://image.hm.com/assets/hm/30/f5/30f57dc82cf707992c4819391e382b86a1aca39c.jpg, https://image.hm.com/assets/hm/f1/e2/f1e237b6558be9049a9052fec15a0e2cc0f26201.jpg, https://image.hm.com/assets/hm/96/7e/967e73558c89b8c52417b9d517cab031df392994.jpg"
Loose Fit Printed T-shirt,$ 9.99,"Light beige/Better Than Ever, Light blue/Wasted Potential, White/Synthesis, White/Cologne, White/Hardware, White/New Haven, Black/Carbonara",https://www2.hm.com/en_us/productpage.0967955102.html,"https://image.hm.com/assets/hm/d3/5c/d35c622819e98c67f3442c9e4dc46771a189a9ea.jpg, https://image.hm.com/assets/hm/d5/b1/d5b15e116234490c8bd7f4466d10287676201f8a.jpg, https://image.hm.com/assets/hm/fc/6f/fc6ff3a8dca6af7bac8f30024f173a84a315f802.jpg, https://image.hm.com/assets/hm/1d/02/1d024bb67a4d6701809e9776c2a80797c206563d.jpg, https://image.hm.com/assets/hm/c0/cd/c0cd0eaab5b57d6fcf1627ebe4a6980b24910f33.jpg, https://image.hm.com/assets/hm/5c/d5/5cd55da81b4cda8fd32f807e145f949d1d96e8c5.jpg, https://image.hm.com/assets/hm/c5/d3/c5d3f22613f1f60b92d3a359c85899ce8ae417ce.jpg"
Pima Cotton Shirt with Box Pleats,$ 69.99,Cream,https://www2.hm.com/en_us/productpage.1272746001.html,https://image.hm.com/assets/hm/c1/44/c1446a7e24071788717b2820ccdbdbe448ae1e01.jpg
Bootcut Wool-Blend Pants,$ 109.00,Black,https://www2.hm.com/en_us/productpage.1272763001.html,https://image.hm.com/assets/hm/57/65/57651674469f0a81a11a66ed7bab4cab483fb794.jpg
Pima Cotton Resort Shirt,$ 54.99,"Black, Beige",https://www2.hm.com/en_us/productpage.1272747002.html,"https://image.hm.com/assets/hm/0a/dc/0adc56aa3e3e05654343c3c05921556b85e3d607.jpg, https://image.hm.com/assets/hm/30/37/3037279836b69549731fedde7c2e256d6d7ca7e4.jpg"
Linen-Blend Shirt,$ 74.99,Cerise,https://www2.hm.com/en_us/productpage.1272745002.html,https://image.hm.com/assets/hm/c0/f1/c0f1acdeecb24b350057aa8440f8d2af636a893f.jpg
Regular Fit Sweatshorts,$ 12.99,"Gray melange, Black, Light beige",https://www2.hm.com/en_us/productpage.1224295002.html,"https://image.hm.com/assets/hm/c6/73/c673176a4b777257fa85a21500de3d9a1e193ed8.jpg, https://image.hm.com/assets/hm/0f/88/0f88b5de0e3d346f47acf4a549f9783fccbe6695.jpg, https://image.hm.com/assets/hm/2b/9e/2b9eb532ce58a6324e12f56cb13d39c47f19dd3d.jpg"
Regular-Fit Fine-Knit Polo Shirt,$ 34.99,"Navy blue, Light beige",https://www2.hm.com/en_us/productpage.1262923001.html,"https://image.hm.com/assets/hm/d7/ba/d7ba2c48793b00f502250cd5759bcd2491925d4a.jpg, https://image.hm.com/assets/hm/5d/b6/5db691c058a3ba9092c66568966e72e2813639dc.jpg"
Regular Fit Sweatshorts,$ 12.99,"Black, Gray melange, Light beige",https://www2.hm.com/en_us/productpage.1224295001.html,"https://image.hm.com/assets/hm/0f/88/0f88b5de0e3d346f47acf4a549f9783fccbe6695.jpg, https://image.hm.com/assets/hm/c6/73/c673176a4b777257fa85a21500de3d9a1e193ed8.jpg, https://image.hm.com/assets/hm/2b/9e/2b9eb532ce58a6324e12f56cb13d39c47f19dd3d.jpg"
5-Pocket Textured-Weave Pants,$ 99.00,Beige melange,https://www2.hm.com/en_us/productpage.1290702001.html,https://image.hm.com/assets/hm/ca/c4/cac4a786ddf6151038309caf456b3dc2491390b0.jpg
5-Pocket Carpenter Pants,$ 89.99,Beige,https://www2.hm.com/en_us/productpage.1272764001.html,https://image.hm.com/assets/hm/2b/d6/2bd6f19bc3a14e5fedbb89dc6864a2ddcea9aa23.jpg
Pima Cotton Resort Shirt,$ 54.99,"Beige, Black",https://www2.hm.com/en_us/productpage.1272747001.html,"https://image.hm.com/assets/hm/30/37/3037279836b69549731fedde7c2e256d6d7ca7e4.jpg, https://image.hm.com/assets/hm/0a/dc/0adc56aa3e3e05654343c3c05921556b85e3d607.jpg"
5-pocket leather trousers,$ 219.00,Black,https://www2.hm.com/en_us/productpage.1272769001.html,https://image.hm.com/assets/hm/23/a2/23a2700333bb3618a59a613de67e2727b5806424.jpg
